SapCode ,SPU Id ,ML Exclusion,Month,ML Forecast,Global Lag 0 PBU Consensus FC,Shipped Units
ABC,RE099AAAES,Y,3,601,621,340
ABC,RE099AAAFI,N,3,0,0,0
ABC,RE099AAAFR,N,3,1226,1061,848
ABC,RE099AAAGB,N,3,112,81,39
ABC,RE099AAAGR,N,3,22,14,34
ABC,RE099AAAHU,N,3,20,12,14
ABC,RE099AAAIE,Y,3,0,0,2
ABC,RE099AAAIL,Y,3,0,0,0
ABC,RE099AAAIT,N,3,1001,979,460
ABC,RE099AAAJP,Y,3,0,20,20
ABC,RE099AAALU,N,3,29,84,84
ABC,RE099AAAMD,N,3,1,2,1
ABC,RE099AAANL,N,3,34,64,144
ABC,RE099AAANO,N,3,0,0,0
ABC,RE099AAANZ,Y,3,0,0,0
ABC,RE099AAAPL,N,3,243,133,75
ABC,RE099AAAPT,Y,3,9,5,0
ABC,RE099AAAQA,Y,3,0,0,0
ABC,RE099AAAR4,Y,3,0,0,0
ABC,RE099AAARO,N,3,102,89,80
ABC,RE099AAARS,N,3,9,18,8
ABC,RE099AAARU,Y,3,0,0,0
ABC,RE099AAASE,N,3,0,0,0
ABC,RE099AAASI,N,3,40,40,50
ABC,RE099AAASK,N,3,9,10,0
ABC,RE099AAATR,Y,3,37,94,83
ABC,RE099AAAUA,N,3,4,5,12
ABC,RE099AAAUS,Y,3,0,0,0
ABC,RE100AAAGB,N,3,0,0,0
ABC,RE115000DZ,Y,3,0,0,0
ABC,RE123456PL,N,3,239,173,84
ABC,RE138000TR,Y,3,0,0,0
ABC,RE226000CN,N,3,0,0,0
ABC,RE256000CY,N,3,0,0,0
ABC,RE277000AE,Y,3,0,0,0
ABC,RE286000EG,Y,3,0,0,0
ABC,RE328000GH,Y,3,0,0,0
ABC,RE391000IQ,Y,3,0,0,0
ABC,RE628000CN,Y,3,0,0,0
ABC,RE637000KR,Y,3,0,60,0
ABC,RE641000TW,Y,3,0,0,0
ABC,RE647000TH,Y,3,0,0,0
ABC,RE657000ID,Y,3,0,0,0
ABC,RE659000MX,Y,3,0,0,0
ABC,RE664000PH,Y,3,0,0,0
ABC,RE672000IN,Y,3,0,0,0
ABC,RE677000SG,Y,3,0,0,0
ABC,RE684000MY,Y,3,0,0,0
ABC,RE775000SI,N,3,64,116,130
ABC,RE999000TR,Y,3,0,0,0
ABC,RE999000ZA,N,3,0,0,0
ABC,RE999900AE,Y,3,0,0,0
ABC,REAHBMW0DE,N,3,24,32,0
ABC,REAHDAIMDE,Y,3,15,0,0
ABC,REAHOTHEDE,N,3,386,854,2
ABC,REAHTYSYDE,Y,3,0,0,0
ABC,REAHVW00DE,Y,3,243,250,207
ABC,REATU000DE,N,3,2095,1322,0
ABC,REATYSE0FR,N,3,1782,1576,1639
ABC,REAXLE00GB,Y,3,144,52,18
